ID,Name,Description,UnitPrice,Category
b5ba307d-79ed-4399-8ecd-1465afcbe5bd,Sticker (1pcs),,2000,Merch Item
b50ba206-0d24-46b3-8272-362b57d2dd0d,Sticker (3pcs),,5000,Merch Item
72dffd0c-2a61-456f-9bd9-80e6f6118be5,Poster (A3),Poster Artpaper 210 GSM ukuran A3,7000,Merch Item
6b5c70b2-2a86-494e-a835-a4c9cc3e70d1,Ganci 4x4 cm,"Gantungan Kunci Akrilik 2 Lapis tebal 2 mm, ukuran 4x4 cm",13000,Merch Item
31e7fb5d-a2aa-422f-9bf7-1f0ab659058b,Ganci 5x5 cm,"Gantungan Kunci Akrilik 2 Lapis tebal 2 mm, ukuran 5x5 cm",15000,Merch Item
a1cb73da-198a-4b69-9447-617a5491b650,Ganci 6x6 cm,"Gantungan kunci akrilik 2 lapis tebal 2 mm, Ukuran 6x6 cm",18000,Merch Item
fd7e3c4a-582d-483e-9898-ea7c27e7f7ff,Ganci 7x7 cm,Gantungan Kunci ,20000,Merch Item
61fc481e-e1f9-4e8b-9861-0f139e0ac4d0,Phone Charm,Akrilik 2 lapis 2 mm di gantung dengan tali Phone Charm`,15000,Merch Item
